code,current,name,gender,function,country_code,country_long,nationality,nationality_code,disciplines,events,birth_date
1927266,TRUE,ZHONG Qiyun,Female,Athlete,CHN,People's Republic of China,China,CHN,['Water Polo'],['Women'],28-03-2004
1927298,TRUE,PANARIN Dmitriy,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,KAZ,['Badminton'],"[""Men's Singles""]",08-01-2000
1927300,TRUE,QUAN Xin,Male,Athlete,CHN,People's Republic of China,China,CHN,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",24-11-1996
1927315,TRUE,HUANG Juan,Female,Athlete,CHN,People's Republic of China,China,CHN,['Canoe Slalom'],"[""Women's Canoe Single""]",14-08-2002
1927323,TRUE,LI Shiting,Female,Athlete,CHN,People's Republic of China,China,CHN,['Canoe Slalom'],"[""Women's Kayak Single"", ""Women's Kayak Cross""]",25-11-2005
1927381,TRUE,LIN Wenjun,Female,Athlete,CHN,People's Republic of China,China,CHN,['Canoe Sprint'],"[""Women's Canoe Single 200m""]",03-06-1997
1927382,TRUE,XU Shixiao,Female,Athlete,CHN,People's Republic of China,China,CHN,['Canoe Sprint'],"[""Women's Canoe Double 500m""]",16-02-1992
1927383,TRUE,SUN Mengya,Female,Athlete,CHN,People's Republic of China,China,CHN,['Canoe Sprint'],"[""Women's Canoe Double 500m""]",03-05-2001
1927392,TRUE,JI Bowen,Male,Athlete,CHN,People's Republic of China,China,CHN,['Canoe Sprint'],"[""Men's Canoe Single 1000m"", ""Men's Canoe Double 500m""]",22-02-2002
1927393,TRUE,LIU Hao,Male,Athlete,CHN,People's Republic of China,China,CHN,['Canoe Sprint'],"[""Men's Canoe Single 1000m"", ""Men's Canoe Double 500m""]",06-09-1993
1927400,TRUE,YIN Mengdie,Female,Athlete,CHN,People's Republic of China,China,CHN,['Canoe Sprint'],"[""Women's Kayak Single 500m"", ""Women's Kayak Four 500m""]",17-11-1997
1927401,TRUE,WANG Nan,Female,Athlete,CHN,People's Republic of China,China,CHN,['Canoe Sprint'],"[""Women's Kayak Single 500m"", ""Women's Kayak Four 500m""]",25-09-2000
1927402,TRUE,LI Dongyin,Female,Athlete,CHN,People's Republic of China,China,CHN,['Canoe Sprint'],"[""Women's Kayak Four 500m""]",06-07-1995
